DateTime,2020 Number of flights
01/01/2021,144067
02/01/2021,175861
03/01/2021,175444
04/01/2021,165733
05/01/2021,172605
06/01/2021,184566
07/01/2021,183328
08/01/2021,179306
09/01/2021,185552
10/01/2021,183890
11/01/2021,154564
12/01/2021,161515
13/01/2021,171632
14/01/2021,173162
15/01/2021,187297
16/01/2021,187023
17/01/2021,188157
18/01/2021,161254
19/01/2021,165794
20/01/2021,189099
21/01/2021,190867
22/01/2021,184248
23/01/2021,189810
24/01/2021,189551
25/01/2021,162301
26/01/2021,164267
27/01/2021,176736
28/01/2021,178310
29/01/2021,184425
30/01/2021,186239
31/01/2021,184949
01/02/2021,154067
02/02/2021,158666
03/02/2021,179441
04/02/2021,170708
05/02/2021,174865
06/02/2021,171934
07/02/2021,181611
08/02/2021,169881
09/02/2021,152651
10/02/2021,159472
11/02/2021,161819
12/02/2021,176204
13/02/2021,176585
14/02/2021,192613
15/02/2021,169293
16/02/2021,157345
17/02/2021,173785
18/02/2021,172208
19/02/2021,183938
20/02/2021,183430
21/02/2021,196756
22/02/2021,175274
23/02/2021,166252
24/02/2021,173788
25/02/2021,172456
26/02/2021,173708
27/02/2021,186942
28/02/2021,194125
01/03/2021,167470
02/03/2021,172689
03/03/2021,176892
04/03/2021,182378
05/03/2021,188674
06/03/2021,188587
07/03/2021,168507
08/03/2021,171187
09/03/2021,175350
10/03/2021,171193
11/03/2021,181341
12/03/2021,179920
13/03/2021,171961
14/03/2021,155729
15/03/2021,153521
16/03/2021,157293
17/03/2021,148325
18/03/2021,144330
19/03/2021,132135
20/03/2021,129138
21/03/2021,115564
22/03/2021,102181
23/03/2021,95227
24/03/2021,98539
25/03/2021,94477
26/03/2021,96970
27/03/2021,89276
28/03/2021,69508
29/03/2021,64522
30/03/2021,74295
31/03/2021,77465
01/04/2021,80431
02/04/2021,76022
03/04/2021,72785
04/04/2021,61570
05/04/2021,57065
06/04/2021,67420
07/04/2021,73157
08/04/2021,74591
09/04/2021,68623
10/04/2021,68188
11/04/2021,62592
12/04/2021,46294
13/04/2021,54214
14/04/2021,71808
15/04/2021,74953
16/04/2021,75216
17/04/2021,72081
18/04/2021,58163
19/04/2021,57994
20/04/2021,67434
21/04/2021,75371
22/04/2021,78427
23/04/2021,76032
24/04/2021,74831
25/04/2021,68877
26/04/2021,63561
27/04/2021,74696
28/04/2021,80714
29/04/2021,76156
30/04/2021,78510
01/05/2021,81522
02/05/2021,71244
03/05/2021,68602
04/05/2021,77484
